variant,num_images,num_detections,AP,AP50,AP75,APM,APL,AR,AR50,AR75,ARM,ARL,preprocess_mean_ms,infer_mean_ms,decode_mean_ms,resize_heatmaps_mean_ms,resize_pafs_mean_ms,mx_nms_mean_ms,extract_keypoints_mean_ms,extract_from_mask_mean_ms,group_keypoints_mean_ms,total_postprocess_mean_ms,total_frame_mean_ms,total_frame_p95_ms,total_postprocess_p95_ms
standard,495,1663,0.3265739289243519,0.5756532209146744,0.3229964400326582,0.40349817683074585,0.22720420662835727,0.3805531547104581,0.6171132238547969,0.3811581676750216,0.40982404692082114,0.3412631578947368,3.4146451898097916,6.772794364246003,1.0935508633135922,1.3045813169828946,2.191084814069774,0.0,21.825505763226463,0.0,22.337941659938995,48.7650204933192,59.23373136525936,82.9593895934522,71.77057269145735
optimized_batch_k20_findnonzero_v1,495,1663,0.3265739289243519,0.5756532209146744,0.3229964400326582,0.40349817683074585,0.22720420662835727,0.3805531547104581,0.6171132238547969,0.3811581676750216,0.40982404692082114,0.3412631578947368,3.3683476498058873,5.601304835249491,1.0984929011560827,1.4456325892660051,2.1493930635371745,0.0,12.983606611213864,0.0,1.1994783362053862,18.889255696117427,28.303234466478568,33.37143139797263,23.924704699311405
gpu-nms,495,1663,0.3265739289243519,0.5756532209146744,0.3229964400326582,0.40349817683074585,0.22720420662835727,0.3805531547104581,0.6171132238547969,0.3811581676750216,0.40982404692082114,0.3412631578947368,3.407418624982426,5.619427120322456,1.1023421730667429,1.3366183288385998,2.026521679451407,0.0,7.28049547202189,0.0,1.2701876459154064,13.088802641934969,22.370834532664205,25.121154088992622,15.557703393278642
