variant,num_images,num_detections,AP,AP50,AP75,APM,APL,AR,AR50,AR75,ARM,ARL,preprocess_mean_ms,infer_mean_ms,decode_mean_ms,resize_heatmaps_mean_ms,resize_pafs_mean_ms,mx_nms_mean_ms,extract_keypoints_mean_ms,extract_from_mask_mean_ms,group_keypoints_mean_ms,total_postprocess_mean_ms,total_frame_mean_ms,total_frame_p95_ms,total_postprocess_p95_ms
standard,995,3532,0.3208012280805787,0.5665633339094721,0.3079815529861236,0.39907888541900777,0.21155412379622499,0.37159468438538207,0.6083887043189369,0.3654485049833887,0.4057262569832402,0.3252049180327869,3.407555300772808,6.661254918406338,1.0866030049159299,1.3122947498730118,2.1981988647419155,0.0,21.547942290295513,0.0,21.823524331133438,47.98102263716896,58.34534808790929,82.44989527738647,71.10027158050795
optimized_batch_k20_findnonzero_v1,995,3532,0.3208012280805787,0.5665633339094721,0.3079815529861236,0.39907888541900777,0.21155412379622499,0.37159468438538207,0.6083887043189369,0.3654485049833887,0.4057262569832402,0.3252049180327869,3.3371341749955548,5.585948762427734,1.09388245200626,1.4360566126257555,2.1512201873131622,0.0,12.837080898210314,0.0,1.2720424030210131,18.803320086593903,28.165162827155022,33.17458540550433,23.574892408214506
gpu-nms,995,3532,0.3208012280805787,0.5665633339094721,0.3079815529861236,0.39907888541900777,0.21155412379622499,0.37159468438538207,0.6083887043189369,0.3654485049833887,0.4057262569832402,0.3252049180327869,3.444809154326555,5.631733115472311,1.1026387514743075,1.3719818588163721,2.1104998355988767,0.0,7.298286235832783,0.0,1.3433357977411293,13.299217100674053,22.63735305902843,25.808894418878477,16.343181708361953
migraphx-nms,995,3867,0.320701894051612,0.564225964388248,0.3085116575942666,0.40178810182721186,0.20867224061067882,0.3721345514950166,0.6096345514950167,0.36794019933554817,0.40907821229050284,0.3218237704918032,3.4326591703867604,5.76179945606261,1.1067324578317452,1.3409152890242,2.2058610225812387,3.3859793257656223,5.82014530003258,5.82014530003258,1.6138851434933068,19.76191985570643,30.468052846728238,40.512880875030525,29.216214618645598
migraphx-nms-k20,995,3638,0.3160515935976257,0.5624972027920668,0.3027820860450721,0.3947841609022075,0.2053841642544557,0.3675249169435216,0.6058970099667774,0.3600498338870432,0.4031424581005586,0.31915983606557374,3.4034667579321445,5.730129185603023,1.1019945465234207,1.3206325785547084,2.138391076633941,2.1557258082268262,5.793038078925418,5.793038078925418,1.31302347421955,17.718977939592552,27.661529095111014,33.16748031647876,23.09698508470319
